PBS ID,Alps ID,User,Budget,PBS Submitted,Alps Start,Alps End,Job Size / Nodes,Peak RSS Memory sum over nodes,Peak VM Memory sum over nodes,Integral RSS (MB-usec),Energy Used sum over nodes,Read system calls,Write system calls,Chars read,Chars written,Pages swapped,Major page faults,Minor page faults,User time,System time,Integrated memory use (MB-usec)
5415404.sdb,31173360,acc (CowardDr Andrew C),n01-Global,2018-06-18 10:24:47,2018-06-18 10:56:13,2018-06-18 14:49:32,501,13864204,27839172,122048889860533339,1905902848,1475956534,399743256,1913939278219,913357841868,0,1529033,10843375070,142217087112000,12037463880000,
5416407.sdb,31177167,acc (CowardDr Andrew C),n01-Global,2018-06-18 15:56:37,2018-06-18 19:49:44,2018-06-18 23:42:49,501,13864188,26074856,124014251394783788,1905577032,645799769,374221311,1928039175374,912787850669,0,1523715,9836524104,143479542864000,12106611228000,
5419310.sdb,31186609,acc (CowardDr Andrew C),n01-Global,2018-06-19 16:10:36,2018-06-19 17:10:09,2018-06-19 21:11:12,501,13874928,27426500,130857177061959525,1963094478,670699183,378010657,1954238738958,913114390086,0,1523303,9941478181,147815248372000,12673976320000,
5420644.sdb,31191384,acc (CowardDr Andrew C),n01-Global,2018-06-20 09:06:08,2018-06-20 09:28:56,2018-06-20 13:33:06,501,13875860,27580804,133865598660359611,1996487282,706938881,389006199,1990301434537,913708425347,0,1529866,10650288370,149902223892000,12943051148000,
5421764.sdb,31194016,acc (CowardDr Andrew C),n01-Global,2018-06-20 14:10:17,2018-06-20 15:04:25,2018-06-20 19:24:12,501,13867068,29621220,78766430599794683,2112739848,718884946,396176981,2001866543295,913831633219,0,1519583,11040183009,159181847928000,14041854956000,
5430316.sdb,31228552,acc (CowardDr Andrew C),n01-Global,2018-06-25 08:38:09,2018-06-25 08:42:38,2018-06-25 12:44:54,501,13864188,26543300,131415645726808856,1980262380,658721508,381750463,1940070152473,913336789105,0,1484819,10381000951,148886678904000,12400207804000,
5431422.sdb,31234980,acc (CowardDr Andrew C),n01-Global,2018-06-25 15:06:55,2018-06-26 02:18:49,2018-06-26 06:30:48,501,13875400,26127852,140711539921618115,2044860997,662990193,383237087,1944803318973,913524004724,0,1485805,10348940961,156204520876000,11844745304000,
5432699.sdb,31235464,acc (CowardDr Andrew C),n01-Global,2018-06-26 06:33:34,2018-06-26 06:36:47,2018-06-26 10:49:08,501,13863680,26274884,133894376789667380,2038950270,682234286,384607200,1965579608457,913642938506,0,1484580,10244325378,156269673656000,11947131200000,
5434725.sdb,31239141,acc (CowardDr Andrew C),n01-Global,2018-06-26 17:05:41,2018-06-26 17:09:08,2018-06-26 21:14:13,501,13865348,27918252,133848651759947313,1997587273,737505229,406116781,2021488258690,914586822394,0,1484911,10863756636,151849816016000,11551713044000,
5436760.sdb,31250667,acc (CowardDr Andrew C),n01-Global,2018-06-28 09:29:34,2018-06-28 10:57:30,2018-06-28 14:56:05,501,13865260,27824516,128274116669601694,1925622194,741526286,407333250,2025106484127,914313831840,0,1487166,11232317418,147566851124000,11379447880000,
5437571.sdb,31259182,acc (CowardDr Andrew C),n01-Global,2018-06-28 15:00:42,2018-06-29 10:37:40,2018-06-29 14:34:40,501,13864940,27985800,126824611543663873,1923752714,732372622,397715580,2016012767970,913704723825,0,1485059,10971250990,146825833684000,11230039936000,
5439748.sdb,31262053,acc (CowardDr Andrew C),n01-Global,2018-06-29 14:47:38,2018-06-29 15:37:01,2018-06-29 19:38:01,501,13864484,28060488,130540525535484317,1957280954,699352229,388082421,1981929282508,913126337971,0,1486310,10884283299,148822104320000,11514463200000,
5440860.sdb,31269710,acc (CowardDr Andrew C),n01-Global,2018-06-29 19:43:35,2018-06-30 05:31:10,2018-06-30 09:31:54,501,13867668,27469756,130318920936112657,1957865339,700233611,391171818,1983056257170,913445663756,0,1483850,10654871181,148919647516000,11604931316000,
5443444.sdb,31282132,acc (CowardDr Andrew C),n01-Global,2018-07-01 12:59:27,2018-07-01 13:04:10,2018-07-01 17:11:35,501,13866400,31311024,135432646226045903,1995650767,735516471,395179661,2020157211635,913831593893,0,1489802,10244277176,152687367160000,11909472488000,
5446350.sdb,31292548,acc (CowardDr Andrew C),n01-Global,2018-07-02 15:15:35,2018-07-02 15:31:27,2018-07-02 19:28:22,501,13863960,27856644,125811058153177373,1929306033,668108933,380417643,1950290272349,913274798606,0,1485057,10309641351,146415687076000,11179577856000,
5446981.sdb,31294469,acc (CowardDr Andrew C),n01-Global,2018-07-02 19:31:30,2018-07-02 19:35:38,2018-07-02 23:33:01,501,13864648,27910308,126731371876760389,1918347673,655526989,376316091,1937573195802,913215896620,0,1486230,10429906705,146730462868000,11144869884000,
5447583.sdb,31298211,acc (CowardDr Andrew C),n01-Global,2018-07-03 03:48:31,2018-07-03 03:52:28,2018-07-03 07:49:04,501,13876680,27742500,125834379958632281,1905277704,690981777,386528758,1973203246771,913601933843,0,1479424,10593595118,146485400624000,11122167972000,
5448184.sdb,31299583,acc (CowardDr Andrew C),n01-Global,2018-07-03 08:19:29,2018-07-03 08:24:07,2018-07-03 12:25:37,501,13867616,28583168,130800856550698060,1954254957,714466729,391701065,1998328115419,914080583495,0,1476242,10630383908,149224946640000,11568702364000,
5453896.sdb,31321262,acc (CowardDr Andrew C),n01-Global,2018-07-04 17:09:25,2018-07-04 17:46:44,2018-07-04 21:57:34,501,13875572,28262976,139323100327956192,2025021390,759982064,405419930,2044048412602,913859878557,0,1491390,11200101507,154762345348000,12356982660000,
5458738.sdb,31337346,acc (CowardDr Andrew C),n01-Global,2018-07-06 08:43:28,2018-07-06 08:56:49,2018-07-06 12:46:55,501,13884908,28164256,120213831528262858,1861029480,716688545,395154689,2000801730989,913925292107,0,1488525,10188791834,142392956356000,10704690128000,
5461080.sdb,31343296,acc (CowardDr Andrew C),n01-Global,2018-07-07 09:06:11,2018-07-07 09:09:40,2018-07-07 12:57:10,501,13864820,30543276,117603579178042534,1841581265,709286510,393890456,1992741559874,913790293897,0,1490858,10691144184,140423496624000,10298152460000,
5461303.sdb,31343826,acc (CowardDr Andrew C),n01-Global,2018-07-07 13:02:02,2018-07-07 13:05:31,2018-07-07 16:53:04,501,13873500,28204844,118263609598923833,1846709873,670688054,382455834,1952876173116,913264841341,0,1490692,10411243594,141072968428000,10270554440000,
5461519.sdb,31344618,acc (CowardDr Andrew C),n01-Global,2018-07-07 16:57:59,2018-07-07 17:01:06,2018-07-07 20:55:20,501,13868412,26855812,123811350124670462,1882091225,688940322,385995817,1971483213375,913494377221,0,1490651,10837184663,144773009956000,10864511160000,
5462438.sdb,31347596,acc (CowardDr Andrew C),n01-Global,2018-07-08 13:52:51,2018-07-08 13:56:29,2018-07-08 17:46:27,501,13882048,29001188,120061392161858462,1859751010,703424747,393218257,1987056239859,913987059658,0,1477574,10578011922,142148006316000,10496626340000,
5462880.sdb,31348373,acc (CowardDr Andrew C),n01-Global,2018-07-08 17:48:42,2018-07-08 17:52:54,2018-07-08 21:44:25,501,13863816,27765120,122660106370800110,1883049126,727663815,401238715,2011618117286,914535174084,0,1487324,10897254540,143490380836000,10784390504000,
5463427.sdb,31349849,acc (CowardDr Andrew C),n01-Global,2018-07-09 01:45:41,2018-07-09 01:49:35,2018-07-09 05:41:29,501,13864524,27605320,122186558196704827,1874037247,688468456,386443145,1971451940996,913302747668,0,1486316,10548595790,143387240744000,10960043888000,
5466503.sdb,31357283,acc (CowardDr Andrew C),n01-Global,2018-07-10 00:36:02,2018-07-10 00:39:44,2018-07-10 04:40:25,501,13867008,28255004,130324180300971143,1947014525,721077096,386763696,2005539727358,913436334268,0,1480366,9836168976,148681016296000,11689575352000,
5466786.sdb,31358224,acc (CowardDr Andrew C),n01-Global,2018-07-10 04:42:10,2018-07-10 04:47:41,2018-07-10 08:49:52,501,13867316,28847276,131209584845004706,1956527743,701590032,391018385,1985048583661,913602322562,0,1487407,10551361220,149846231712000,11576051296000,
5467183.sdb,31359413,acc (CowardDr Andrew C),n01-Global,2018-07-10 08:53:03,2018-07-10 08:56:58,2018-07-10 12:53:33,501,13876732,27866760,126793183572101580,1910139352,700403829,392543051,1982960661711,913643942448,0,1484792,10916911424,146471853352000,11265322716000,
